Name, Beschreibung, Art.-Nr., EAN, Anzahl VE, (Summe gesamt), Preis
Leandro, Raspberry Pi 5, RPI5-8GB, 5056561803326, 1x, (1x), 86.50€
Leandro, Pi 5 Gehäuse, 7350001161648, 7350001161648, 1x, (1x), 11.90€
Leandro, Pi 5 Lüfter, RPI5-ACOOL, 5056561803357, 1x, (1x), 5.70€
Leandro, Pi 5 RTC, RPI-RTCBAT, 5056561803739, 1x, (1x), 5.60€
