Bezeichnung 		,Art.-Nr.:		,Anzahl		,(TEs)

Buck-Converter 5V	,DDR-30G-5		,1x		,(2)
Schütz/Relais		,SIE 5TT5840-2		,1x		,(3)
Tragschienenadapter	,PTFIX NS35		,1x		,(2)










